availability,in_stock,number_of_reviews,price,price_excl_tax,price_incl_tax,product_description,product_type,tax,title,upc,url
,,,,1 599 ₽,RUB 1 299 ₽,"Чиcтящая  жидкоcть предназначена для чистки, дезодорации и дезинфекции унитазов,  кафельных cтен, полов и других поверхностей в туалетной комнате. Благодаря безопасной  ионной формуле без содержания хлора, жидкоcть легко справляется cо стойкими  загрязнениями, потемнениями и следами от ржавчины. 1.    Легко справляется даже с застарелыми загрязнениями  и въевшимися пятнами. 2.    Безопасная ионная формула в составе. 3.    Качественно очищает и дезинфицирует  поверхности. Комплектация:  2 х 500 мл Страна-производитель:  Япония Способ  применения: нанеcите cредcтво на загрязнение, обработайте поверхноcть c помощью  ершика или щетки, затем cмойте водой. В cлучае cильного загрязнения оcтавьте  cредcтво на поверхноcти на неcколько минут. Для доcтижения дезинфицирующего  эффекта жидкоcть cледует оcтавить на поверхноcти не менее, чем на 5 минут,  затем cмыть водой.",,,"Жидкость чистящая для туалета, 2 шт",,https://www.leomax.ru/goods/jidkost-chistashaya-dlya-tualeta_group-id_2118963/
,,,,1 999 ₽,RUB 1 299 ₽,"1.    Эффективно очищает любые поверхности. 2.    Коллаген в составе ухаживает за  кожей, восстанавливая структуру. 3.    Идеально подходит для ежедневной заботы о близких.",,,"Набор для мытья  пола, 2шт",,https://www.leomax.ru/goods/nabor_dlya_mytya_pola_2sht_group-id_2200609/
,,,,1 499 ₽,RUB 799 ₽,"Кислородный отбеливатель  бережно и эффективно удаляет въевшиеся  пятна, не повреждая структуру ткани, даже при частых стирках. Активный  кислород проникает глубоко в волокна ткани и легко справляется с пятнами от  тональных средств, помады, кофе, вина, шариковой ручки, йода, зелёнки, крови, жирных пятен,  травы, пищи и жевательной резинки. 1.    Эффективно удаляет въевшиеся пятна. 2.    Придает сияние белым вещам. 3.    Обеззараживает и нейтрализует запахи. Объем: 500  гр Срок  годности: 2 года Страна-производитель:  Россия Способ  применения: предварительно проверьте пятновыводитель в незаметном месте,  добавьте 3 мерных ложки средства при загрузке в стиральную машину. Безопасен  для цветных изделий и не ослабляет волокна. Не используйте вместе с  отбеливателем, содержащим хлор Выведение  пятен и замачивание: добавьте 3 мерных ложки средства к 2 литрам горячей воды.  Для лучшего результата используйте воду с температурой не менее 60 градусов",,,"Кислородный отбеливатель ""Белый бриллиант""",,https://www.leomax.ru/goods/kislorodnyy_otbelivatel_belyy_brilliant_group-id_2207048/
,,,,1 799 ₽,RUB 1 299 ₽,,,,Салфетки многофункциональные из микрофибры,,https://www.leomax.ru/goods/salfetki_mnogofunktsionalnye_iz_mikrofibry_group-id_2022061/
,,,,1 499 ₽,RUB 999 ₽,,,,Универсальное чистящее средство 10 в 1,,https://www.leomax.ru/goods/universalnyy_pyatnovyvoditel_group-id_2127565/
,,,,2 499 ₽,RUB 1 799 ₽,,,,Вращающаяся универсальная полка,,https://www.leomax.ru/goods/vrashchayushchayasya_universalnaya_polka_group-id_2119866/
,,,,1 999 ₽,RUB 1 299 ₽,,,,"Многофункциональные салфетки ""Простая уборка""",,https://www.leomax.ru/goods/mnogofunktsionalnye_salfetki_prostaya_uborka_group-id_2127309/
,,,,1 499 ₽,RUB 899 ₽,"Паровой  мини-утюг с керамической подошвой станет незаменимым помощником каждой хозяйке.  В утюге есть все необходимые и полезные функции, но нет ничего лишнего. Он  яркий, легкий и простой в использовании! 1.  Мощность ― 2000 Вт. 2.  Резервуар для воды. 3.  Интенсивность пара 25 гр в минуту. Размер: 25 x  11 x 12.5 см Страна-производитель:  Китай",,,Утюг паровой электрический,,https://www.leomax.ru/goods/utyug_parovoy_elektricheskiy_group-id_2215559/
,,,,2 499 ₽,RUB 1 999 ₽,,,,"Универсальное чистящее cредство 10 в 1, 2 шт.",,https://www.leomax.ru/goods/universalnoe_chistyashchee_sredstvo_10_v_1_group-id_2301745/
,,,,5 999 ₽,RUB 3 999 ₽,"Самоклеящиеся мягкие 3D-панели позволяют легко и быстро сделать косметический ремонт своими руками.      Они подходят для декора стен, потолков и зонирования пространства, маскируют небольшие дефекты поверхностей. Наклеить их можно за несколько минут: отделите защитный слой и прижмите клейкой стороной к поверхности.      Панели изготовлены из качественного ПВХ и не имеют неприятного запаха. Они легко очищаются. Клеить необходимо на чистую обезжиренную поверхность.                    1.  Обеспечивают дополнительную звуко- и теплоизоляцию.      2.  Поврежденный блок легко заменить.      3.  Не впитывают воду и быстро очищаются от загрязнений.      4.  Легко режутся под нужный размер.                    Материал: ПВХ      Размер: 70 х 70 х 0,4 см   Температурный режим: от -20 до +60 °C    Комплектация: в комплекте 10 панелей (хватает на 4,9 кв. м)    Страна-производитель: Китай",,,Гибкие настенные панели,,https://www.leomax.ru/goods/gibkie_nastennye_paneli_group-id_2212456/
,,,,1 999 ₽,RUB 1 799 ₽,"Кислородный отбеливатель бережно и эффективно удаляет въевшиеся пятна, придает сияние белым вещам. Активный кислород проникает глубоко в волокна ткани и легко справляется с пятнами от тональных средств, помады, кофе, вина, шариковой ручки, йода, зеленки, крови, жирных пятен, травы, пищи и жевательной резинки. Биотин в составе средства укрепляет ткани и препятствует их износу от частых стирок.                         1.  Эффективно удаляет въевшиеся пятна.         2.  Не повреждает структуру ткани.         3.  Безопасен для цветных изделий и не ослабляет волокна.                         Комплектация: 3 шт. х 500 гр    Объем ложки: в 1 мерной ложке содержится 25 гр порошка      Страна-производитель: Россия         Способ применения: добавьте 3 мерных ложки средства при загрузке в стиральную машину. Безопасен для цветных изделий и не ослабляет волокна. Не используйте вместе с отбеливателем, содержащим хлор. Выведение пятен и замачивание: добавьте 3 мерных ложки средства к 2 литрам горячей воды. Для лучшего результата используйте воду с температурой не менее 60 градусов.",,,"Кислородный отбеливатель ""Белый бриллиант""3шт",,https://www.leomax.ru/goods/kislorodnyy_otbelivatel_belyy_brilliant_3sht_group-id_2216717/
,,,,9 999 ₽,RUB 4 599 ₽,"Быстро  преображение интерьера без специальных инструментов и особых навыков. Самоклеющееся  напольное покрытие создаёт богатое оформление и реалистичный деревянный вид для  любой из комнат. Такое покрытие влагоустойчивое и подходит для ванных комнат.  Стильно, легко и экономно! 1.  Легко наклеить. 2.  Шесть интересных дизайнов. 3.  Одной упаковки хватит на 5 м². 4.  Сделает Ваш дом уютным.   Размер: 91,4*15, 2*0,18 см Материал покрытия: вспененный полиэтилен Комплектация: набор из 36 пластин Покрытие 5 кв.м. Температурный режим: от +5 °C до +30 °C Рекомендуемый температурный режим при монтаже: от +18 °C до +24 °C Страна-производитель: Китай",,,Самоклеющееся напольное  покрытие,,https://www.leomax.ru/goods/samokleyushchesya_napolnoe_pokrytie_group-id_2214178/
,,,,4 999 ₽,RUB 4 999 ₽,"Мощный пылесос  2 в 1 станет вашим незаменимым помощником дома и на даче. С ним вы легко и  быстро наведете порядок. Данная модель оснащена съемным контейнером увеличенной  вместимости в 1,5 литра, который легко снять при помощи кнопки, открыть и  вытряхнуть. 1.    Установлен высокоэффективный съемный  моющийся HEPA фильтр, который имеет двойную систему фильтрации. 2.    Оборудован съемной ручкой с  удлинительной металлической трубкой, которая крепится сверху  корпуса пылесоса. 3.    Длина шнура составляет 6 метров, за  счет этого пылесос имеет увеличенный радиус действия, что очень удобно для  уборки всей квартиры. 4.    В комплекте две насадки для уборки в  труднодоступных местах. Мощность  всасывания: 140 Вт Потребляемая  мощность: 800 Вт Пылесос  работает от сети 220-240 Вт Длина  сетевого шнура: 6 м Уровень  шума: 82 Дб Высота  пылесоса в сборе: 109 см Размер: 15 x  61.2 x 15 см Емкость  пылесборника: 1,5 л Комплектация:  пылесос, поворотная щетка для пола (180°), щелевая насадка для труднодоступных  мест, T-образная насадка, круглая насадка, гарантийный талон, инструкция на  русском. Гарантийный  срок: 1 год Страна-производитель:  Китай",,,Вертикальный пылесос  2 в 1,,https://www.leomax.ru/goods/verrtikalnyy_pylesos_2_v_1_group-id_2212367/
